Date,y_actual,prob_up,pred_direction,signal,signal_correct
2024-08-27,0,0.49054582880860415,Down,Hold,
2024-08-28,1,0.5334774426215051,Up,Buy,1.0
2024-08-29,0,0.49921660848318367,Down,Hold,
2024-08-30,0,0.49673027180381873,Down,Hold,
2024-09-03,1,0.515515450446742,Up,Hold,
2024-09-04,1,0.46954500165189167,Down,Sell,0.0
2024-09-05,0,0.4931069768243261,Down,Hold,
2024-09-06,1,0.510587189410819,Up,Hold,
2024-09-09,1,0.5039850290108397,Down,Hold,
2024-09-10,0,0.46851469485129815,Down,Sell,1.0
2024-09-11,1,0.5064380803551123,Down,Hold,
2024-09-12,1,0.5168503570583072,Up,Hold,
2024-09-13,0,0.5111504556080856,Up,Hold,
2024-09-16,0,0.49553884225985884,Down,Hold,
2024-09-17,1,0.5248069667930751,Up,Buy,1.0
2024-09-18,1,0.5083325447920841,Down,Hold,
2024-09-19,1,0.4852527573216217,Down,Hold,
2024-09-20,1,0.5112063858316223,Up,Hold,
2024-09-23,1,0.48876923745856615,Down,Hold,
2024-09-24,1,0.5103632352756768,Up,Hold,
2024-09-25,1,0.4832959866120928,Down,Hold,
2024-09-26,0,0.49840796739732324,Down,Hold,
2024-09-27,0,0.5381179313476124,Up,Buy,0.0
2024-09-30,1,0.5151649865878586,Up,Hold,
2024-10-01,0,0.48599220986758324,Down,Hold,
2024-10-02,1,0.49661958014697305,Down,Hold,
2024-10-03,0,0.5046519678224318,Down,Hold,
2024-10-04,0,0.5034728525660327,Down,Hold,
2024-10-07,0,0.5250594127874942,Up,Buy,0.0
2024-10-08,0,0.48486868548940315,Down,Hold,
2024-10-09,1,0.535836096779135,Up,Buy,1.0
2024-10-10,1,0.4792797703756106,Down,Sell,0.0
2024-10-11,0,0.48602842365712934,Down,Hold,
2024-10-14,1,0.522048281508045,Up,Buy,1.0
2024-10-15,1,0.4817061474826543,Down,Hold,
2024-10-16,1,0.47514589500353815,Down,Sell,0.0
2024-10-17,1,0.48908572237114356,Down,Hold,
2024-10-18,1,0.48105135814542693,Down,Hold,
2024-10-21,1,0.4920006392627228,Down,Hold,
2024-10-22,0,0.4851562059835066,Down,Hold,
2024-10-23,1,0.5287938985806684,Up,Buy,1.0
2024-10-24,1,0.4891576540575917,Down,Hold,
2024-10-25,1,0.47053675355276475,Down,Sell,0.0
2024-10-28,1,0.47984564231995425,Down,Sell,0.0
2024-10-29,1,0.49117741602516124,Down,Hold,
2024-10-30,0,0.4862010750260872,Down,Hold,
2024-10-31,1,0.5388508162751119,Up,Buy,1.0
2024-11-01,0,0.529808005699867,Up,Buy,0.0
2024-11-04,1,0.4980943396373922,Down,Hold,
2024-11-05,0,0.5110895917628234,Up,Hold,
2024-11-06,1,0.5248993886249745,Up,Buy,1.0
2024-11-07,0,0.5091632718836906,Down,Hold,
2024-11-08,0,0.533088664246124,Up,Buy,0.0
2024-11-11,0,0.49720411681881177,Down,Hold,
2024-11-12,0,0.4943113037905851,Down,Hold,
2024-11-13,0,0.5477908716887242,Up,Buy,0.0
2024-11-14,0,0.4915288461076517,Down,Hold,
2024-11-15,1,0.4764916087365119,Down,Sell,0.0
2024-11-18,1,0.4911663148803996,Down,Hold,
2024-11-19,1,0.4983521110665943,Down,Hold,
2024-11-20,1,0.472604279659352,Down,Sell,0.0
2024-11-21,1,0.4984212892346514,Down,Hold,
2024-11-22,0,0.5051783928090389,Down,Hold,
2024-11-25,1,0.5113307013126689,Up,Hold,
2024-11-26,1,0.509905570194094,Down,Hold,
2024-11-27,1,0.511716520813196,Up,Hold,
2024-11-29,0,0.4919942822553572,Down,Hold,
2024-12-02,1,0.5323342742281606,Up,Buy,1.0
2024-12-03,1,0.4857831287438934,Down,Hold,
2024-12-04,0,0.4834546537871464,Down,Hold,
2024-12-05,1,0.5428722624923238,Up,Buy,1.0
2024-12-06,1,0.5103527185038561,Up,Hold,
2024-12-09,1,0.4774559349420074,Down,Sell,0.0
2024-12-10,1,0.49185186043902335,Down,Hold,
2024-12-11,0,0.49554187469195,Down,Hold,
2024-12-12,0,0.4832452127215461,Down,Hold,
2024-12-13,0,0.4973586449014824,Down,Hold,
2024-12-16,0,0.503065374032591,Down,Hold,
2024-12-17,0,0.4790286956957856,Down,Sell,1.0
2024-12-18,0,0.4932427992580733,Down,Hold,
2024-12-19,1,0.5053575229776879,Down,Hold,
2024-12-20,0,0.4975565757556637,Down,Hold,
2024-12-23,1,0.4990308746644197,Down,Hold,
2024-12-24,1,0.5066537172463801,Down,Hold,
2024-12-26,0,0.47618012147519845,Down,Sell,1.0
2024-12-27,0,0.5329205825559773,Up,Buy,0.0
2024-12-30,1,0.5499860507496299,Up,Buy,1.0
2024-12-31,1,0.4829394456995628,Down,Hold,
2025-01-02,0,0.4853971778598088,Down,Hold,
2025-01-03,0,0.5114778482599017,Up,Hold,
2025-01-06,1,0.5202589092093833,Up,Hold,
2025-01-07,1,0.46370388594380857,Down,Sell,0.0
2025-01-08,1,0.4838034992016289,Down,Hold,
2025-01-09,1,0.5068588375953819,Down,Hold,
2025-01-10,0,0.47765317566964005,Down,Sell,1.0
2025-01-13,1,0.5335239340059376,Up,Buy,1.0
2025-01-14,1,0.506342438678579,Down,Hold,
2025-01-15,1,0.4871861642568525,Down,Hold,
2025-01-16,0,0.5126906832897412,Up,Hold,
2025-01-17,1,0.5149486789190719,Up,Hold,
2025-01-21,1,0.5072685771179367,Down,Hold,
2025-01-22,0,0.48419365995741787,Down,Hold,
